"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0010817","GO:0010817","regulation of hormone levels","91/2045","487/18842",0.186858316221766,1.7216549605137,5.6298867308923,1.40300026370081e-07,0.000436981158321776,0.00041072567923467,"EPHA5/TG/BAIAP3/ABAT/MYB/CACNA1H/RDH5/HADH/CPA4/LEP/RBP1/ACE2/BMP5/DOC2B/CORIN/PRKCA/PCSK5/KCNJ11/SRD5A2/AKR1C8/IRS2/SHH/CCL5/HSD17B11/DHRS9/VAMP8/FGG/GATA3/DUOXA2/PTPRN2/RAPGEF3/ADCY5/ITSN1/TAC1/RETSAT/INHBA/CYP11A1/ABCC8/CACNG4/LIPE/SLC30A8/ALDH1A3/RDH16/SCT/PCSK4/DHRS3/ADH7/DRD2/SLC25A22/CCN3/RAB3A/FOXO1/TCF7L2/ADM/PNLIP/GHSR/NNAT/NMB/ANXA1/TOR2A/OSM/PRKN/HSD3B1/PASK/TACR3/GPLD1/HSD17B7/HTR1A/SLC7A8/MAFA/CACNA2D1/GDF9/WNK4/CYP46A1/PNPLA2/FAM3D/PRKD1/C1QTNF1/DGAT2/GHRH/GALR1/CHST8/UCN3/MLXIPL/RPE65/BMP6/ACSL4/SLCO1C1/SDR16C5/ILDR1/PER2",91
"GO:0015711","GO:0015711","organic anion transport","84/2045","440/18842",0.190909090909091,1.75897755056679,5.62089568062791,1.64015189887715e-07,0.000436981158321776,0.00041072567923467,"SLC16A12/SLC6A5/ABAT/SLC22A7/SLC22A24/SLC35B1/SLC38A5/MGST1/AVPR1A/SLC32A1/LEP/RBP1/SLC1A2/ABCC5/ACE2/SLC4A8/IRS2/SLC2A6/STXBP1/SLC13A2/CR1/ABCC6/ABCD2/FABP9/PPARA/PLA2R1/SLC25A47/SLC2A10/NHERF1/ARL6IP1/FABP6/SLC29A3/DRD2/SLC25A22/SLC4A10/SLC7A3/SLC6A14/SFXN5/RGS2/SFXN2/GIPC1/SLC36A2/MFSD12/SLC5A8/PRAF2/RGS4/SLC26A9/FOLR2/FABP1/CALHM1/FOLR1/NMB/SLC25A18/SLC2A4/CALHM4/SLC27A4/SLC22A12/SLC22A3/SLC25A19/SLC10A6/CALHM6/SLC44A4/SLC4A4/SLC7A8/SLC22A25/THRSP/SLC7A13/SLC39A6/ACSL1/SLC37A1/SPX/LYPLA1/PMP2/DRD4/ACSL4/SLC17A7/SLCO1C1/SLC7A14/SLC6A9/SLC23A1/SLC7A2/PER2/SLC1A3/LLGL2",84
"GO:0023061","GO:0023061","signal release","82/2045","430/18842",0.190697674418605,1.7570296241542,5.54088822349686,2.41070885429446e-07,0.000436981158321776,0.00041072567923467,"EPHA5/BAIAP3/ABAT/MYB/SYT9/SV2B/SLC32A1/HADH/LEP/ABCA1/DOC2B/SLC4A8/PRKCA/PCSK5/KCNJ11/IRS2/STXBP1/MEF2C/CCL5/PPFIA3/VAMP8/FER1L5/NLGN1/FGG/CDK5/SYN1/PTPRN2/RAPGEF3/ADCY5/ITSN1/TAC1/INHBA/ABCC8/CACNG4/SV2C/HTR2A/SLC30A8/STXBP2/SCT/DRD2/SLC25A22/CCN3/RAB3A/FOXO1/MICU3/TCF7L2/GHSR/WLS/KCNA2/NNAT/SNCAIP/NMB/ANXA1/TOR2A/OSM/PRKN/PASK/TACR3/RIMS3/GPLD1/HTR1A/SLC44A4/MAFA/MCTP1/CACNA2D1/GDF9/WNK4/PNKD/PRRT2/FAM3D/ADRA2B/PRKD1/C1QTNF1/GHRH/GALR1/UCN3/MLXIPL/BMP6/ACSL4/CADPS/ILDR1/PER2",82
"GO:0019433","GO:0019433","triglyceride catabolic process","16/2045","40/18842",0.4,3.68547677261614,5.93242343369597,1.71740376834086e-06,0.00164660761726051,0.00154767321005246,"PNLIPRP2/APOC3/PAK4/APOA5/FABP9/PNPLA1/LIPE/FABP6/PNLIP/MGLL/FABP1/PLIN1/GPLD1/APOC2/LIPC/PNPLA2",16
"GO:0006641","GO:0006641","triglyceride metabolic process","28/2045","101/18842",0.277227722772277,2.55429083250623,5.46486404298431,2.06457873221818e-06,0.00164660761726051,0.00154767321005246,"PNLIPRP2/GPAM/APOC3/PAK4/APOA5/GK/FABP9/SREBF1/PNPLA1/C3/PLAAT3/LIPE/AGPAT2/FABP6/PNLIP/LPIN1/MGLL/FABP1/PLIN1/GPLD1/APOC2/LIPC/THRSP/GPAT3/PNPLA2/ACSL1/DGAT2/MBOAT7",28
"GO:0009914","GO:0009914","hormone transport","57/2045","281/18842",0.202846975088968,1.86896953771459,5.12082337571603,2.25238081890727e-06,0.00164660761726051,0.00154767321005246,"EPHA5/BAIAP3/ABAT/MYB/HADH/LEP/DOC2B/PRKCA/KCNJ11/IRS2/CCL5/VAMP8/FGG/PTPRN2/RAPGEF3/ADCY5/ITSN1/TAC1/INHBA/ABCC8/CACNG4/SLC30A8/SCT/DRD2/SLC25A22/CCN3/RAB3A/FOXO1/TCF7L2/GHSR/NNAT/NMB/ANXA1/TOR2A/OSM/PRKN/PASK/TACR3/GPLD1/HTR1A/SLC7A8/MAFA/CACNA2D1/GDF9/WNK4/FAM3D/PRKD1/C1QTNF1/GHRH/GALR1/UCN3/MLXIPL/BMP6/ACSL4/SLCO1C1/ILDR1/PER2",57
"GO:0046879","GO:0046879","hormone secretion","55/2045","268/18842",0.205223880597015,1.89086961281611,5.12520913851796,2.32385046312489e-06,0.00164660761726051,0.00154767321005246,"EPHA5/BAIAP3/ABAT/MYB/HADH/LEP/DOC2B/PRKCA/KCNJ11/IRS2/CCL5/VAMP8/FGG/PTPRN2/RAPGEF3/ADCY5/ITSN1/TAC1/INHBA/ABCC8/CACNG4/SLC30A8/SCT/DRD2/SLC25A22/CCN3/RAB3A/FOXO1/TCF7L2/GHSR/NNAT/NMB/ANXA1/TOR2A/OSM/PRKN/PASK/TACR3/GPLD1/HTR1A/MAFA/CACNA2D1/GDF9/WNK4/FAM3D/PRKD1/C1QTNF1/GHRH/GALR1/UCN3/MLXIPL/BMP6/ACSL4/ILDR1/PER2",55
"GO:0046883","GO:0046883","regulation of hormone secretion","50/2045","236/18842",0.211864406779661,1.95205337532634,5.13539152577969,2.55145351265155e-06,0.00164660761726051,0.00154767321005246,"EPHA5/BAIAP3/ABAT/MYB/HADH/LEP/DOC2B/PRKCA/KCNJ11/IRS2/CCL5/VAMP8/FGG/RAPGEF3/ADCY5/ITSN1/TAC1/INHBA/ABCC8/CACNG4/SLC30A8/SCT/DRD2/SLC25A22/CCN3/FOXO1/TCF7L2/GHSR/NNAT/NMB/ANXA1/OSM/PRKN/PASK/TACR3/GPLD1/HTR1A/CACNA2D1/GDF9/FAM3D/PRKD1/C1QTNF1/GHRH/GALR1/UCN3/MLXIPL/BMP6/ACSL4/ILDR1/PER2",50
"GO:0046887","GO:0046887","positive regulation of hormone secretion","34/2045","137/18842",0.248175182481752,2.28660967644067,5.27364644482523,2.81270030788514e-06,0.00164660761726051,0.00154767321005246,"BAIAP3/ABAT/MYB/LEP/DOC2B/PRKCA/IRS2/VAMP8/FGG/RAPGEF3/ITSN1/TAC1/INHBA/ABCC8/CACNG4/SLC30A8/SCT/DRD2/TCF7L2/NNAT/NMB/PRKN/TACR3/GPLD1/CACNA2D1/PRKD1/C1QTNF1/GHRH/GALR1/UCN3/MLXIPL/BMP6/ACSL4/ILDR1",34
"GO:0046461","GO:0046461","neutral lipid catabolic process","18/2045","51/18842",0.352941176470588,3.25189126995541,5.61875801887933,3.33076200622758e-06,0.00164660761726051,0.00154767321005246,"PNLIPRP2/APOC3/ABHD12/PAK4/APOA5/FABP9/PNPLA1/LIPE/FAAH/FABP6/PNLIP/MGLL/FABP1/PLIN1/GPLD1/APOC2/LIPC/PNPLA2",18
"GO:0046464","GO:0046464","acylglycerol catabolic process","18/2045","51/18842",0.352941176470588,3.25189126995541,5.61875801887933,3.33076200622758e-06,0.00164660761726051,0.00154767321005246,"PNLIPRP2/APOC3/ABHD12/PAK4/APOA5/FABP9/PNPLA1/LIPE/FAAH/FABP6/PNLIP/MGLL/FABP1/PLIN1/GPLD1/APOC2/LIPC/PNPLA2",18
"GO:0015849","GO:0015849","organic acid transport","63/2045","332/18842",0.189759036144578,1.74838130026217,4.80033481382391,6.8506815287091e-06,0.00286569278100924,0.00269351113095636,"SLC16A12/SLC6A5/ABAT/SLC22A7/SLC38A5/AVPR1A/SLC32A1/LEP/RBP1/SLC1A2/ABCC5/ACE2/IRS2/STXBP1/SLC13A2/ABCC6/ABCD2/FABP9/PPARA/PLA2R1/NHERF1/ARL6IP1/FABP6/DRD2/SLC25A22/SLC7A3/SLC6A14/SFXN5/RGS2/SFXN2/GIPC1/SLC36A2/MFSD12/SLC5A8/PRAF2/RGS4/SLC26A9/FOLR2/FABP1/FOLR1/NMB/SLC25A18/SLC27A4/SLC10A6/SLC44A4/SLC7A8/THRSP/SLC7A13/ACSL1/SPX/LYPLA1/PMP2/DRD4/ACSL4/SLC17A7/SLCO1C1/SLC7A14/SLC6A9/SLC23A1/SLC7A2/PER2/SLC1A3/LLGL2",63
"GO:0046942","GO:0046942","carboxylic acid transport","63/2045","332/18842",0.189759036144578,1.74838130026217,4.80033481382391,6.8506815287091e-06,0.00286569278100924,0.00269351113095636,"SLC16A12/SLC6A5/ABAT/SLC22A7/SLC38A5/AVPR1A/SLC32A1/LEP/RBP1/SLC1A2/ABCC5/ACE2/IRS2/STXBP1/SLC13A2/ABCC6/ABCD2/FABP9/PPARA/PLA2R1/NHERF1/ARL6IP1/FABP6/DRD2/SLC25A22/SLC7A3/SLC6A14/SFXN5/RGS2/SFXN2/GIPC1/SLC36A2/MFSD12/SLC5A8/PRAF2/RGS4/SLC26A9/FOLR2/FABP1/FOLR1/NMB/SLC25A18/SLC27A4/SLC10A6/SLC44A4/SLC7A8/THRSP/SLC7A13/ACSL1/SPX/LYPLA1/PMP2/DRD4/ACSL4/SLC17A7/SLCO1C1/SLC7A14/SLC6A9/SLC23A1/SLC7A2/PER2/SLC1A3/LLGL2",63
"GO:0001659","GO:0001659","temperature homeostasis","42/2045","194/18842",0.216494845360825,1.9947168099211,4.85922447223338,8.98233508777871e-06,0.00348899558623862,0.00327936354855237,"ABAT/IL18/SMARCA4/MAP2K6/GADD45G/PPARGC1A/HADH/LEP/PEMT/ELOVL3/LAMA4/NOD2/PGAM5/ARRDC3/HTR2A/PTGER3/OVOL2/CIDEA/SCT/EBF2/ID1/TLE3/DRD2/CXCR4/THRA/FOXO1/SFXN5/LPIN1/ADIPOQ/ADAMTS5/PLCL2/SCD/OXTR/PM20D1/ACSL1/PTGS2/SCTR/G0S2/PER2/SLN/ADRB3/PRDM16",42
"GO:0006638","GO:0006638","neutral lipid metabolic process","31/2045","127/18842",0.244094488188976,2.24901141636024,4.92783460036905,1.09008755507164e-05,0.00359617870233949,0.00338010669805585,"PNLIPRP2/GPAM/APOC3/ABHD12/PAK4/APOA5/GK/FABP9/SREBF1/PNPLA1/C3/PLAAT3/LIPE/AGPAT2/FAAH/FABP6/DGKB/PNLIP/LPIN1/MGLL/FABP1/PLIN1/GPLD1/APOC2/LIPC/THRSP/GPAT3/PNPLA2/ACSL1/DGAT2/MBOAT7",31
"GO:0006639","GO:0006639","acylglycerol metabolic process","31/2045","127/18842",0.244094488188976,2.24901141636024,4.92783460036905,1.09008755507164e-05,0.00359617870233949,0.00338010669805585,"PNLIPRP2/GPAM/APOC3/ABHD12/PAK4/APOA5/GK/FABP9/SREBF1/PNPLA1/C3/PLAAT3/LIPE/AGPAT2/FAAH/FABP6/DGKB/PNLIP/LPIN1/MGLL/FABP1/PLIN1/GPLD1/APOC2/LIPC/THRSP/GPAT3/PNPLA2/ACSL1/DGAT2/MBOAT7",31
"GO:0015804","GO:0015804","neutral amino acid transport","18/2045","55/18842",0.327272727272727,3.01539008668593,5.22269320459563,1.12421916034887e-05,0.00359617870233949,0.00338010669805585,"SLC6A5/SLC38A5/SLC32A1/LEP/SLC1A2/ACE2/SLC6A19/SLC6A14/RGS2/SFXN2/SLC36A2/MFSD12/RGS4/SLC7A8/SLC7A13/SLC6A9/SLC1A3/LLGL2",18
"GO:0015816","GO:0015816","glycine transport","9/2045","17/18842",0.529411764705882,4.87783690493312,5.58122174424967,2.21220065442714e-05,0.00637610939073782,0.00599300864696995,"SLC6A5/SLC38A5/SLC32A1/SLC6A14/RGS2/SLC36A2/RGS4/SLC7A8/SLC6A9",9
"GO:0051897","GO:0051897","positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction","40/2045","188/18842",0.212765957446809,1.96035998543412,4.61753041357315,2.22776900375172e-05,0.00637610939073782,0.00599300864696995,"TXN/IL18/IGF2/LEP/TYRO3/UNC5B/EGFR/CCR7/IRS2/NTF3/CCL5/MYDGF/IL1R1/MAZ/SRC/GATA3/FGFR3/RASD2/PDGFRA/RELN/VAV3/IGF1/TCF7L2/FLT3/PDGFA/KIT/OSM/FN1/GFRAL/VAV2/KDR/PDGFD/XBP1/SPRY2/ERBB3/ADRA2B/PRKD1/ITGB1BP1/HGF/CCL21",40
"GO:0006865","GO:0006865","amino acid transport","33/2045","144/18842",0.229166666666667,2.11147106764466,4.67158871194748,2.35908733737635e-05,0.00641435847032631,0.00602895957733596,"SLC6A5/ABAT/SLC38A5/AVPR1A/SLC32A1/LEP/SLC1A2/ACE2/STXBP1/NHERF1/ARL6IP1/SLC25A22/SLC6A19/SLC7A3/SLC6A14/SFXN5/RGS2/SFXN2/GIPC1/SLC36A2/MFSD12/PRAF2/RGS4/SLC25A18/SLC7A8/SLC7A13/SLC17A7/SLC7A14/SLC6A9/SLC7A2/PER2/SLC1A3/LLGL2",33
