"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016064","GO:0016064","immunoglobulin mediated immune response","63/2347","172/18842",0.366279069767442,2.94053269388928,9.64373767149099,3.32006553068509e-16,1.08353751949116e-12,1.08353751949116e-12,"IGHV2-70/IGHD/IGHV7-81/IGHV3-48/BTK/IGHV3-11/C8A/IGHV3-38/IGHV1-45/IGHV3-53/IGHV3-15/C4BPB/IGHV2-26/HLA-E/IGHV1-58/IGHV7-4-1/IGHV4-61/IGHV3-43/IGLC6/IGHV8-51-1/CSF2RB/IGHV4-28/IGHV3-49/IGHV3-64/IGHV3-23/FCGR3B/IGHV3-74/IGHV4-39/IGHV1-24/IGLL5/IGHV3-66/HSPD1/IGHV6-1/IGHV2-70D/IGHV3-72/IGLC2/IGHV3-20/C8B/C1QB/IGLL1/IGLC7/IGHV3-7/FCER1G/IGKC/IGLC3/IGHV3-64D/IGHV1-69-2/IGHV3-13/TNFSF13/IGHV3-35/C1QC/IGHV2-5/IGHV3-30/ZP3/IGHV4-59/IGHV5-51/IGHV4-4/C1QA/IGHV3-16/IGHV3-73/IGHV1-3/NFKBIZ/TLR8",63
"GO:0019724","GO:0019724","B cell mediated immunity","64/2347","177/18842",0.361581920903955,2.90282341443218,9.59408324766661,4.0250279327309e-16,1.08353751949116e-12,1.08353751949116e-12,"IGHV2-70/IGHD/IGHV7-81/IGHV3-48/BTK/IGHV3-11/C8A/IGHV3-38/IGHV1-45/IGHV3-53/IGHV3-15/C4BPB/IGHV2-26/HLA-E/IGHV1-58/IGHV7-4-1/IGHV4-61/IGHV3-43/IGLC6/IGHV8-51-1/CSF2RB/IGHV4-28/IGHV3-49/IGHV3-64/IGHV3-23/FCGR3B/IGHV3-74/IGHV4-39/IGHV1-24/IGLL5/IGHV3-66/HSPD1/IGHV6-1/IGHV2-70D/IGHV3-72/IGLC2/IGHV3-20/C8B/C1QB/IGLL1/IGLC7/IGHV3-7/CD70/FCER1G/IGKC/IGLC3/IGHV3-64D/IGHV1-69-2/IGHV3-13/TNFSF13/IGHV3-35/C1QC/IGHV2-5/IGHV3-30/ZP3/IGHV4-59/IGHV5-51/IGHV4-4/C1QA/IGHV3-16/IGHV3-73/IGHV1-3/NFKBIZ/TLR8",64
"GO:0002443","GO:0002443","leukocyte mediated immunity","111/2347","429/18842",0.258741258741259,2.0772061343003,8.5132923412044,1.74960613426483e-14,3.13995980896062e-11,3.13995980896062e-11,"IGHV2-70/FCAR/IGHD/IGHV7-81/IGHV3-48/BTK/IL18R1/KIR3DL1/GATA1/IGHV3-11/SLAMF7/C8A/IGHV3-38/IGHV1-45/NCR1/IGHV3-53/IGHV3-15/C4BPB/IGHV2-26/HLA-E/IGHV1-58/IGHV7-4-1/IGHV4-61/CLEC12B/IGHV3-43/IGLC6/IGHV8-51-1/CSF2RB/HLA-DRA/IGHV4-28/IGHV3-49/RASGRP4/IGHV3-64/IGHV3-23/FCGR3B/CLNK/IGHV3-74/PLA2G1B/KLRD1/SMAD7/IGHV4-39/IGHV1-24/IL1B/EMP2/IGLL5/SCIMP/IGHV3-66/HSPD1/SERPINB4/SCART1/IGHV6-1/IGHV2-70D/DAO/IGHV3-72/VAMP2/FGR/IGLC2/IGHV3-20/C8B/NCKAP1L/C1QB/IGLL1/ARID5A/IGLC7/IGHV3-7/AIRE/JAK3/KLRC2/CD70/FCER1G/RAB44/KLRF2/TYROBP/AGER/DNASE1/GNAQ/IGKC/IGLC3/IGHV3-64D/IGHV1-69-2/F2RL1/IGHV3-13/TNFSF13/IGHV3-35/LAT2/C1QC/IGHV2-5/IGHV3-30/NKG7/CEACAM1/ZP3/ICAM1/CRTAM/PRF1/IGHV4-59/IGHV5-51/IGHV4-4/SH2D1B/GSDMB/GATA2/C1QA/IGHV3-16/SPI1/IGHV3-73/IGHV1-3/CADM1/AZGP1/PTGDS/NFKBIZ/ACE/TLR8",111
"GO:0002449","GO:0002449","lymphocyte mediated immunity","93/2347","339/18842",0.274336283185841,2.20240487762574,8.42678403237286,5.82992966920741e-14,7.84708533475318e-11,7.84708533475318e-11,"IGHV2-70/IGHD/IGHV7-81/IGHV3-48/BTK/IL18R1/KIR3DL1/IGHV3-11/SLAMF7/C8A/IGHV3-38/IGHV1-45/NCR1/IGHV3-53/IGHV3-15/C4BPB/IGHV2-26/HLA-E/IGHV1-58/IGHV7-4-1/IGHV4-61/CLEC12B/IGHV3-43/IGLC6/IGHV8-51-1/CSF2RB/HLA-DRA/IGHV4-28/IGHV3-49/RASGRP4/IGHV3-64/IGHV3-23/FCGR3B/CLNK/IGHV3-74/KLRD1/SMAD7/IGHV4-39/IGHV1-24/IL1B/EMP2/IGLL5/IGHV3-66/HSPD1/SERPINB4/SCART1/IGHV6-1/IGHV2-70D/IGHV3-72/IGLC2/IGHV3-20/C8B/NCKAP1L/C1QB/IGLL1/ARID5A/IGLC7/IGHV3-7/AIRE/KLRC2/CD70/FCER1G/KLRF2/TYROBP/AGER/IGKC/IGLC3/IGHV3-64D/IGHV1-69-2/IGHV3-13/TNFSF13/IGHV3-35/C1QC/IGHV2-5/IGHV3-30/NKG7/CEACAM1/ZP3/CRTAM/PRF1/IGHV4-59/IGHV5-51/IGHV4-4/SH2D1B/GSDMB/C1QA/IGHV3-16/IGHV3-73/IGHV1-3/CADM1/AZGP1/NFKBIZ/TLR8",93
"GO:0002460","GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","90/2347","377/18842",0.238726790450928,1.916527561004,6.78069028472912,5.33646059424057e-10,5.74630076787825e-07,5.74630076787825e-07,"IGHV2-70/IGHD/IGHV7-81/IGHV3-48/BTK/IL18R1/IGHV3-11/C8A/IGHV3-38/IGHV1-45/IGHV3-53/IGHV3-15/C4BPB/IGHV2-26/HLA-E/IGHV1-58/IGHV7-4-1/NOTCH1/IGHV4-61/TNFAIP3/IGHV3-43/IGLC6/IGHV8-51-1/JUNB/CSF2RB/HLA-DRA/IGHV4-28/IGHV3-49/IGHV3-64/IGHV3-23/FCGR3B/IGHV3-74/KLRD1/SMAD7/IGHV4-39/IGHV1-24/IL1B/EMP2/IGLL5/CD69/PSMA6/IGHV3-66/HSPD1/SCART1/IGHV6-1/IGHV2-70D/IGHV3-72/IGLC2/IGHV3-20/C8B/NCKAP1L/C1QB/IGLL1/ARID5A/IGLC7/IGHV3-7/AIRE/JAK3/CD70/FCER1G/AGER/IL17A/IGKC/IGLC3/IGHV3-64D/IGHV1-69-2/IGHV3-13/PRKCQ/TNFSF13/IGHV3-35/SPN/C1QC/IGHV2-5/IGHV3-30/CEACAM1/ZP3/PRF1/IGHV4-59/PSMA2/IGHV5-51/IGHV4-4/IL1RL1/C1QA/IGHV3-16/IGHV3-73/CRACR2A/IGHV1-3/AZGP1/NFKBIZ/TLR8",90
"GO:0003341","GO:0003341","cilium movement","69/2347","264/18842",0.261363636363636,2.09825889917496,6.77859325034074,1.0111901078161e-09,9.07374590080316e-07,9.07374590080316e-07,"DRC1/FSIP2/TEX101/CATSPERH/CFAP58/DRC5/ODAD2/TAC4/AKAP4/CFAP91/SPMIP6/DRC2/CIMAP1A/DNAH10/CFAP53/DEFB1/GARIN2/ADAM7/RSPH14/KLC3/SPAG8/CATSPER4/TEKT2/SEMG1/DNAI3/CCDC181/PSMA6/CFAP73/CFAP210/RSPH4A/CFAP206/CATSPERB/TMEM232/DNAI2/NEK10/DRC3/HOATZ/DRC11/CFAP43/HYDIN/DNAH12/CIMIP2A/RSPH9/GAPDHS/DNAI4/DNAAF1/TEKT3/SPMIP11/DDX4/PFN4/SEPTIN4/CATSPERT/RSPH6A/ROPN1/TTLL8/SPMIP9/TUBA1A/TEKT4/TAC3/PSMA2/ADCY10/CFAP161/CFAP52/ODAD4/ARMC12/CFAP46/SAXO4/TTC29/CATSPERD",69
"GO:0060294","GO:0060294","cilium movement involved in cell motility","60/2347","235/18842",0.25531914893617,2.0497330226908,6.10811171444741,3.09750026823584e-08,2.38242020631168e-05,2.38242020631168e-05,"DRC1/FSIP2/TEX101/CATSPERH/CFAP58/DRC5/ODAD2/TAC4/AKAP4/SPMIP6/DRC2/CIMAP1A/DNAH10/CFAP53/DEFB1/GARIN2/ADAM7/RSPH14/KLC3/SPAG8/CATSPER4/TEKT2/SEMG1/DNAI3/CCDC181/PSMA6/CFAP210/RSPH4A/CFAP206/CATSPERB/TMEM232/DRC3/HOATZ/DRC11/CFAP43/DNAH12/CIMIP2A/RSPH9/GAPDHS/TEKT3/SPMIP11/DDX4/PFN4/SEPTIN4/CATSPERT/RSPH6A/ROPN1/TTLL8/SPMIP9/TUBA1A/TEKT4/TAC3/PSMA2/CFAP161/CFAP52/ODAD4/ARMC12/CFAP46/SAXO4/CATSPERD",60
"GO:0001539","GO:0001539","cilium or flagellum-dependent cell motility","60/2347","237/18842",0.253164556962025,2.03243569760481,6.03329704216734,4.31036904011076e-08,2.57855854577293e-05,2.57855854577293e-05,"DRC1/FSIP2/TEX101/CATSPERH/CFAP58/DRC5/ODAD2/TAC4/AKAP4/SPMIP6/DRC2/CIMAP1A/DNAH10/CFAP53/DEFB1/GARIN2/ADAM7/RSPH14/KLC3/SPAG8/CATSPER4/TEKT2/SEMG1/DNAI3/CCDC181/PSMA6/CFAP210/RSPH4A/CFAP206/CATSPERB/TMEM232/DRC3/HOATZ/DRC11/CFAP43/DNAH12/CIMIP2A/RSPH9/GAPDHS/TEKT3/SPMIP11/DDX4/PFN4/SEPTIN4/CATSPERT/RSPH6A/ROPN1/TTLL8/SPMIP9/TUBA1A/TEKT4/TAC3/PSMA2/CFAP161/CFAP52/ODAD4/ARMC12/CFAP46/SAXO4/CATSPERD",60
"GO:0060285","GO:0060285","cilium-dependent cell motility","60/2347","237/18842",0.253164556962025,2.03243569760481,6.03329704216734,4.31036904011076e-08,2.57855854577293e-05,2.57855854577293e-05,"DRC1/FSIP2/TEX101/CATSPERH/CFAP58/DRC5/ODAD2/TAC4/AKAP4/SPMIP6/DRC2/CIMAP1A/DNAH10/CFAP53/DEFB1/GARIN2/ADAM7/RSPH14/KLC3/SPAG8/CATSPER4/TEKT2/SEMG1/DNAI3/CCDC181/PSMA6/CFAP210/RSPH4A/CFAP206/CATSPERB/TMEM232/DRC3/HOATZ/DRC11/CFAP43/DNAH12/CIMIP2A/RSPH9/GAPDHS/TEKT3/SPMIP11/DDX4/PFN4/SEPTIN4/CATSPERT/RSPH6A/ROPN1/TTLL8/SPMIP9/TUBA1A/TEKT4/TAC3/PSMA2/CFAP161/CFAP52/ODAD4/ARMC12/CFAP46/SAXO4/CATSPERD",60
"GO:0030317","GO:0030317","flagellated sperm motility","56/2347","217/18842",0.258064516129032,2.07177316271974,5.98986402895887,5.95416428811135e-08,2.91429277519923e-05,2.91429277519923e-05,"DRC1/FSIP2/TEX101/CATSPERH/CFAP58/DRC5/ODAD2/TAC4/AKAP4/SPMIP6/DRC2/CIMAP1A/CFAP53/DEFB1/GARIN2/ADAM7/RSPH14/KLC3/SPAG8/CATSPER4/TEKT2/SEMG1/CCDC181/PSMA6/CFAP210/CFAP206/CATSPERB/TMEM232/DRC3/HOATZ/DRC11/CFAP43/DNAH12/CIMIP2A/RSPH9/GAPDHS/TEKT3/SPMIP11/DDX4/PFN4/SEPTIN4/CATSPERT/RSPH6A/ROPN1/TTLL8/SPMIP9/TUBA1A/TEKT4/TAC3/PSMA2/CFAP161/CFAP52/ODAD4/ARMC12/SAXO4/CATSPERD",56
