"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0019730","GO:0019730","antimicrobial humoral response","74/2590","189/18842",0.391534391534392,2.84837490551776,10.1951840571779,2.8619591719674e-18,1.56406068748018e-14,1.56406068748018e-14,"CALCA/IGHA1/F2/IGHG1/CXCL9/H2BC12L/PGLYRP4/CCL20/RNASE7/H2BC7/CXCL13/TSLP/WFDC2/CTSG/GAPDH/H2BC17/CXCL12/DMBT1/FGB/SLC11A1/VIP/DEFB126/IGHG3/RARRES2/IL36RN/KNG1/CCL14/CX3CL1/NTS/IGHE/H2BC14/H2BC19P/H2BC10/H2BC13/S100A7/KLK3/H2BC4/CCL19/CCL23/H2BC6/IGHA2/H2BC9/TF/CCL24/PF4/H2BC8/CAMP/WFDC13/CXCL2/H2BC5/H2BC3/IGHG2/CCL1/IGHG4/H2BC21/H2BC18/LYZ/PRSS2/H2BC11/KRT6A/CXCL3/REG1A/CCL25/S100A12/BPIFA1/CCL16/WFDC10B/H2BC15/H2BC12/WFDC3/CCL7/PPBP/PGLYRP3/CCL2",74
"GO:0006959","GO:0006959","humoral immune response","96/2590","296/18842",0.324324324324324,2.35942815402275,9.41077603382938,9.61689054444007e-17,2.62781534126825e-13,2.62781534126825e-13,"CFB/CALCA/IFNG/IGHA1/F2/IGHG1/CXCL9/H2BC12L/SUSD4/PGLYRP4/CCL20/RNASE7/H2BC7/C4BPA/C6/CXCL13/TSLP/WFDC2/CTSG/GAPDH/H2BC17/CXCL12/VSIG4/DMBT1/FGB/SLC11A1/VIP/DEFB126/IGHG3/RARRES2/CFHR4/A2M/IL36RN/KNG1/CCL14/IFNE/MASP1/BST1/CX3CL1/NTS/IFNB1/IGHE/H2BC14/H2BC19P/C7/H2BC10/COLEC10/H2BC13/S100A7/KLK3/H2BC4/CCL19/CCL23/H2BC6/IGHA2/CR2/H2BC9/CFHR5/TF/CCL24/PF4/H2BC8/CAMP/WFDC13/CXCL2/H2BC5/H2BC3/SERPING1/IGHG2/CCL1/IGHG4/CFD/H2BC21/H2BC18/LYZ/PRSS2/H2BC11/IL6/KRT6A/CXCL3/REG1A/C8G/CCL25/S100A12/MS4A1/BPIFA1/CCL16/WFDC10B/H2BC15/H2BC12/WFDC3/CCL7/CFP/PPBP/PGLYRP3/CCL2",96
"GO:0042391","GO:0042391","regulation of membrane potential","119/2590","419/18842",0.28400954653938,2.06614203702509,8.81029302372586,1.7207023320141e-15,3.13454608148568e-12,3.13454608148568e-12,"SCN7A/ATP1A2/GRIN1/KCNJ8/CDKN2A/SCN3B/CAV3/KCNB1/GRIK4/INSYN2A/CHRNA1/GPER1/SCN3A/NPY2R/CAV1/RIMS1/GRIN2D/RIMS2/TBX18/RIMS4/ATP1A3/TACR1/GRIN2A/INSYN1/CFTR/SCN1A/OPRD1/MAPK8IP2/PID1/CASQ2/FHL1/GABRA4/KCNK16/SCN4A/MLLT11/STX1A/SCN5A/ASIC5/KCNF1/KCNH8/KCNH4/SLC8A2/TRPA1/PYCR1/GRIN2C/NOS1/SLC24A4/GABRA3/EDN1/KCNK5/SCN2B/MET/GABRD/HCN2/GABRB1/CHRNA9/P2RX5/RGS7/CHRNG/CNR2/GRIA4/GABRG2/DCN/CACNB3/CHRNA6/KCNIP1/CHRNA4/KCNA5/SLC34A1/CACNA1G/CHRNB4/FXYD1/SHANK3/KISS1/CBLN1/GRIA2/PNOC/KCNG2/KCNK1/CHRNB3/HTR3C/KCNE4/CHRND/CHRNA2/GLRA3/HTR3A/KCNE1/KCNA4/SLC26A3/CLCN2/HCN1/KCNH2/KISS1R/ADRA1A/CD36/PMAIP1/ACTN2/GABRA5/ATP1B2/MYOC/SLC8A3/KCNS1/SLC6A4/KCNG1/CHRNA5/NRXN1/KCNK9/P2RX6/ADRB2/SCN4B/KCNH6/ALB/AGT/KCNA1/SLC1A7/P2RX2/NTSR1/KCNMB2/SYT1",119
"GO:0000280","GO:0000280","nuclear division","119/2590","422/18842",0.281990521327014,2.05145382349174,8.72067430817501,3.04531138961922e-15,4.16065668606726e-12,4.16065668606726e-12,"RRS1/TTK/SYCE3/KIF15/RAD54B/CDC25C/P3H4/NCAPG2/AURKA/TDRD12/TEX11/TESMIN/DUSP1/DLGAP5/RAD51AP1/BUB1/CCNB1/RAD51/EPGN/KNTC1/KIF11/DCAF13/SPC25/INCENP/SGO1/HSF2BP/CHEK2/CENPA/CDT1/SHOC1/RGCC/KIF4B/MAEL/NUF2/KIF23/AURKB/KIF18A/ESPL1/RCC1/KIF18B/PKMYT1/CDK1/FBXO43/UBE2C/SGO2/CDC20/UHRF1/KIF25/NEK2/KIFC1/EGF/TOP2A/HASPIN/EDN3/SKA1/EDN1/BRIP1/CDCA2/TUBG1/CEP85/KIF2C/RAD54L/PTTG3P/BUB1B/KNSTRN/EME2/PSRC1/EME1/GEN1/PRC1/SPC24/MAD2L1/BIRC5/ANLN/NDC80/MKI67/RACGAP1/ZWINT/ZWILCH/PLK1/SPAG5/DMRT1/NCAPD2/NCAPH/RBM46/TPX2/CDCA8/TEX19/PTTG1/NCAPG/CENPK/HORMAD2/TEX15/MEIOSIN/SYCP2/CAV2/FANCD2/BRDT/BRCA2/KNL1/KIF22/CYP26B1/MYBL1/CENPF/CENPE/SKA3/MND1/SPIRE2/TRIP13/KAT2B/HORMAD1/TDRKH/KIF14/CENPI/UBE2S/STRA8/KIF4A/CHEK1/TUBB8",119
"GO:0030198","GO:0030198","extracellular matrix organization","88/2590","278/18842",0.316546762589928,2.30284714313491,8.73631999567141,9.32752070318994e-15,1.01949801285866e-11,1.01949801285866e-11,"HPSE2/P3H4/COL3A1/COL17A1/MMP3/MMP13/PLAU/ADAMTS1/MMP1/ADAM8/ADAMTSL1/ADAMTS18/TLL2/ADAMTS20/SCX/FBLN5/DPP4/MATN3/CTSG/NDNF/TIE1/RGCC/DMP1/COL6A6/MMP11/FGFR4/PRDM5/COL11A1/GREM1/COL2A1/FAP/COL1A2/POSTN/COL22A1/MFAP4/SULF1/DDR2/GDPD2/BMP2/PHLDB2/ADAMTSL3/RECK/LTBP4/MYH11/MMP9/VIT/FBLN1/COL10A1/COL24A1/PPARG/TNXB/MARCO/ECM2/COL13A1/CARMIL2/ADAMTSL4/COL1A1/HAS1/HPN/NPNT/COL9A3/ADAMTS14/MIR205/NPHS1/ANGPTL7/COL6A5/PRSS1/COL4A3/MMP14/CMA1/LOXL1/MMP19/GPM6B/COLGALT2/MMP12/PRSS2/TMPRSS6/IL6/TGFBR3/IBSP/COL5A2/APLP1/TLL1/MMP10/AGT/MMP27/DPT/COL5A1",88
"GO:0043062","GO:0043062","extracellular structure organization","88/2590","279/18842",0.315412186379928,2.29459321072224,8.69680624117843,1.1819370449654e-14,1.07654765845599e-11,1.07654765845599e-11,"HPSE2/P3H4/COL3A1/COL17A1/MMP3/MMP13/PLAU/ADAMTS1/MMP1/ADAM8/ADAMTSL1/ADAMTS18/TLL2/ADAMTS20/SCX/FBLN5/DPP4/MATN3/CTSG/NDNF/TIE1/RGCC/DMP1/COL6A6/MMP11/FGFR4/PRDM5/COL11A1/GREM1/COL2A1/FAP/COL1A2/POSTN/COL22A1/MFAP4/SULF1/DDR2/GDPD2/BMP2/PHLDB2/ADAMTSL3/RECK/LTBP4/MYH11/MMP9/VIT/FBLN1/COL10A1/COL24A1/PPARG/TNXB/MARCO/ECM2/COL13A1/CARMIL2/ADAMTSL4/COL1A1/HAS1/HPN/NPNT/COL9A3/ADAMTS14/MIR205/NPHS1/ANGPTL7/COL6A5/PRSS1/COL4A3/MMP14/CMA1/LOXL1/MMP19/GPM6B/COLGALT2/MMP12/PRSS2/TMPRSS6/IL6/TGFBR3/IBSP/COL5A2/APLP1/TLL1/MMP10/AGT/MMP27/DPT/COL5A1",88
"GO:0045229","GO:0045229","external encapsulating structure organization","88/2590","280/18842",0.314285714285714,2.28639823496966,8.65746046575954,1.49522900059875e-14,1.16734664118174e-11,1.16734664118174e-11,"HPSE2/P3H4/COL3A1/COL17A1/MMP3/MMP13/PLAU/ADAMTS1/MMP1/ADAM8/ADAMTSL1/ADAMTS18/TLL2/ADAMTS20/SCX/FBLN5/DPP4/MATN3/CTSG/NDNF/TIE1/RGCC/DMP1/COL6A6/MMP11/FGFR4/PRDM5/COL11A1/GREM1/COL2A1/FAP/COL1A2/POSTN/COL22A1/MFAP4/SULF1/DDR2/GDPD2/BMP2/PHLDB2/ADAMTSL3/RECK/LTBP4/MYH11/MMP9/VIT/FBLN1/COL10A1/COL24A1/PPARG/TNXB/MARCO/ECM2/COL13A1/CARMIL2/ADAMTSL4/COL1A1/HAS1/HPN/NPNT/COL9A3/ADAMTS14/MIR205/NPHS1/ANGPTL7/COL6A5/PRSS1/COL4A3/MMP14/CMA1/LOXL1/MMP19/GPM6B/COLGALT2/MMP12/PRSS2/TMPRSS6/IL6/TGFBR3/IBSP/COL5A2/APLP1/TLL1/MMP10/AGT/MMP27/DPT/COL5A1",88
"GO:0061644","GO:0061644","protein localization to CENP-A containing chromatin","17/2590","18/18842",0.944444444444444,6.87074217074217,9.94767878050425,3.34554481192964e-14,2.28542529964943e-11,2.28542529964943e-11,"H4C6/H4C1/CENPA/H4C2/H4C16/H4C8/H4C3/H2AC8/H4C14/H4C12/H2AC4/H4C11/H4C4/H4C9/H4C5/H2BC11/H4C15",17
"GO:0071459","GO:0071459","protein localization to chromosome, centromeric region","25/2590","37/18842",0.675675675675676,4.91547532088073,9.51693567930129,8.85371652038105e-14,5.37617342043138e-11,5.37617342043138e-11,"TTK/H4C6/H4C1/KNTC1/CENPA/H4C2/AURKB/H4C16/CDK1/H4C8/MTBP/H4C3/H2AC8/HASPIN/H4C14/H4C12/H2AC4/H4C11/ZWILCH/H4C4/H4C9/H4C5/H2BC11/KNL1/H4C15",25
"GO:0061844","GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide","55/2590","142/18842",0.387323943661972,2.8177443036598,8.67969793214878,1.03718087023587e-13,5.66819345583905e-11,5.66819345583905e-11,"CALCA/F2/CXCL9/H2BC12L/PGLYRP4/CCL20/RNASE7/H2BC7/CXCL13/TSLP/GAPDH/H2BC17/CXCL12/DMBT1/VIP/DEFB126/KNG1/CCL14/CX3CL1/NTS/H2BC14/H2BC19P/H2BC10/H2BC13/S100A7/KLK3/H2BC4/CCL19/CCL23/H2BC6/H2BC9/CCL24/PF4/H2BC8/CAMP/CXCL2/H2BC5/H2BC3/CCL1/H2BC21/H2BC18/H2BC11/KRT6A/CXCL3/REG1A/CCL25/S100A12/BPIFA1/CCL16/H2BC15/H2BC12/CCL7/PPBP/PGLYRP3/CCL2",55
